alert_id,timestamp,source_type,device_id,device_type,building,floor,alert_type,severity_raw,value,threshold,confidence,correlation_id
1b28668e-9c42-47e1-8905-4f833f4465d3,2026-04-01 00:12:00,sensor,elevator_012,elevator,B8,6,fault_code,2,44.21,85.4,,
b5bc87ab-fd25-4584-915b-b1b84c6a9b30,2026-04-01 00:12:00,sensor,lighting_067,lighting,B10,18,lamp_failure,4,8.74,62.4,,
aa8f12e1-6adf-4ad5-9c7d-067124f8cc12,2026-04-01 00:12:30,sensor,lighting_027,lighting,B3,3,lamp_failure,3,28.88,88.51,,
ccecdda7-d4aa-4263-8c62-89835b0cbe77,2026-04-01 00:13:08,camera,cam_062,camera,B17,2,people_gathering,2,,,0.21,
d680cb4e-fff8-4c26-865e-14c67b95a3b7,2026-04-01 00:13:29,camera,cam_055,camera,B7,4,stain_detected,1,,,0.177,
1d9ba01f-4a94-415d-a1ba-5d7d7a7ce75d,2026-04-01 00:14:02,camera,cam_096,camera,B12,4,climbing_detected,2,,,0.519,
6f279c1c-930c-4a57-a5be-23b2c02ec785,2026-04-01 00:14:09,camera,cam_084,camera,B18,4,stain_detected,1,,,0.679,
3c600e12-2e56-4cd8-8e89-86e4c95551bb,2026-04-01 00:14:39,camera,cam_149,camera,B20,2,stain_detected,2,,,0.58,
817d5cd5-edf1-4aa6-a4a5-203e833a5766,2026-04-01 00:14:48,camera,cam_126,camera,B12,0,fire_detected,4,,,0.563,
e2dc648e-2791-4169-a64d-35d4c0257987,2026-04-01 00:19:00,sensor,hvac_BROKEN_001,hvac,B13,7,sensor_fault,2,36.56,84.67,,
af865337-322a-431e-8054-a9aac3031c8b,2026-04-01 00:19:48,sensor,lighting_073,lighting,B9,16,circuit_fault,2,76.66,57.23,,
06213cff-74c0-4c0a-b83b-8711129cbfe8,2026-04-01 00:20:19,sensor,hvac_025,hvac,B16,9,filter_clog,2,22.63,53.1,,
59e2a432-2049-4585-9265-4062d3344ef0,2026-04-01 00:24:02,camera,cam_191,camera,B6,3,people_gathering,2,,,0.267,
5ec5545b-e20b-487b-bfa4-35fdcae2b204,2026-04-01 00:25:11,sensor,water_leak_015,water_leak,B6,7,leak_detected,2,52.89,60.97,,
c97e23b3-4202-4a4f-8c8d-aeb378f5a9ef,2026-04-01 00:25:35,sensor,hvac_022,hvac,B19,0,water_temp_high,4,30.1,57.88,,
1b117fc7-5d6a-4c94-ae1c-4f1d4db26e3a,2026-04-01 00:31:07,camera,cam_070,camera,B12,5,stain_detected,3,,,0.417,
368c194a-4315-4b12-835b-d8e08e314979,2026-04-01 00:32:13,camera,cam_121,camera,B8,5,object_left,1,,,0.397,
84c037b2-dc57-421b-8f97-01f8aada73e3,2026-04-01 00:32:36,sensor,elevator_017,elevator,B15,7,fault_code,4,66.63,74.37,,
b6987d3d-cff2-4b6a-ba82-bdc07c351acc,2026-04-01 00:33:39,sensor,hvac_059,hvac,B1,20,filter_clog,1,4.09,73.89,,
3a7d9635-c8c4-4070-afa3-b8a817306d22,2026-04-01 00:35:33,sensor,lighting_026,lighting,B10,4,circuit_fault,3,19.72,56.17,,
af09f826-f0f1-4a7a-8a66-9bba76c4186d,2026-04-01 00:36:32,camera,cam_071,camera,B2,5,fire_detected,4,,,0.629,
d0f528e2-79be-4f47-82d7-837a5613fc4d,2026-04-01 00:36:56,sensor,water_leak_023,water_leak,B1,19,leak_detected,4,46.82,65.22,,
1eb97c2c-2b2b-4027-8d5f-a16e039e4e75,2026-04-01 00:38:37,camera,cam_028,camera,B11,2,fall_detected,3,,,0.353,
e9325be3-a516-4c6e-9f08-ad6dbf462b32,2026-04-01 00:39:02,sensor,pump_000,pump,B9,9,over_current,2,52.25,70.69,,
852d2ce5-f81b-4c7d-a0f3-2cc01d711594,2026-04-01 00:39:26,sensor,hvac_006,hvac,B19,10,compressor_alarm,2,76.7,63.69,,
67009cbe-ba90-4e3e-b3b1-fe634f319fed,2026-04-01 00:39:50,sensor,water_leak_027,water_leak,B9,16,leak_detected,2,56.89,78.45,,
65df29fd-40a4-4421-a727-2cdd520948b4,2026-04-01 00:41:37,sensor,water_leak_026,water_leak,B19,8,leak_detected,2,11.85,67.1,,
914866cd-4b70-4255-8e3f-42c2eeaef0eb,2026-04-01 00:44:07,camera,cam_125,camera,B2,-1,people_gathering,2,,,0.591,
fc13aa70-de04-4bdf-8e63-7f4571fa674d,2026-04-01 00:44:14,sensor,elevator_036,elevator,B18,9,door_fault,4,37.36,64.69,,
210e8792-9065-406c-9f37-72050be6666b,2026-04-01 00:44:33,camera,cam_195,camera,B9,0,smoke_detected,4,,,0.141,
6eb182d6-e845-44a2-9168-a1e40bd38105,2026-04-01 00:45:26,camera,cam_055,camera,B7,4,stain_detected,2,,,0.564,
0d394abf-0d61-46d9-a901-2bdd2837a878,2026-04-01 00:45:56,camera,cam_055,camera,B7,4,fall_detected,2,,,0.644,
59a5017b-a2d0-4626-8951-f4c171d8caae,2026-04-01 00:47:00,sensor,hvac_BROKEN_001,hvac,B13,7,sensor_fault,3,65.51,82.47,,
3cc1e77d-beb7-4272-8d4f-a7dd36fe8024,2026-04-01 00:51:10,camera,cam_015,camera,B1,5,climbing_detected,2,,,0.111,
74461763-187d-4a30-939c-17f990871adb,2026-04-01 00:52:07,camera,cam_057,camera,B3,2,object_left,1,,,0.479,
114c85bb-321e-4794-88ed-99398767e1a3,2026-04-01 00:52:11,sensor,door_sensor_032,door_sensor,B3,2,open_too_long,2,69.63,84.71,,
e86050c6-1f58-44ae-bbd6-39b30e005880,2026-04-01 00:53:01,camera,cam_097,camera,B19,-2,fall_detected,3,,,0.174,
f3291641-da75-47e1-8dc7-23be3e6dbf86,2026-04-01 00:55:05,sensor,lighting_027,lighting,B3,3,lamp_failure,3,33.57,83.74,,
8d7b8cf9-d3fb-4f34-ace1-268f4a8c4095,2026-04-01 00:55:24,sensor,lighting_057,lighting,B10,1,lamp_failure,3,63.97,84.13,,
fc2a8f35-2eb6-40fb-bed0-4bb1992472e6,2026-04-01 00:56:14,camera,cam_012,camera,B8,5,fire_detected,4,,,0.469,
36be9dbb-4e82-42f4-87b7-0c12238d951f,2026-04-01 00:58:08,camera,cam_010,camera,B15,-1,fire_detected,4,,,0.041,
cb6085e8-60e3-4b04-a47a-094c66a71bf6,2026-04-01 00:59:27,camera,cam_115,camera,B1,0,fire_detected,4,,,0.799,
91dd44bb-98a8-4fff-ad19-5c5866d49e92,2026-04-01 01:01:38,camera,cam_156,camera,B19,1,fall_detected,2,,,0.086,
005c0e1e-113c-4761-9ae0-0398926921ea,2026-04-01 01:03:10,sensor,hvac_041,hvac,B11,12,compressor_alarm,1,37.69,73.71,,
b1ce2c1f-a9d0-47fa-ba6a-08ded74c63d4,2026-04-01 01:03:17,sensor,lighting_017,lighting,B14,4,circuit_fault,4,62.17,64.62,,
3f5f2529-0377-4cce-ad63-2bb19a147ffa,2026-04-01 01:03:48,camera,cam_149,camera,B20,2,smoke_detected,4,,,0.502,
dd90a205-79e3-47d8-8a56-bb54838af0b5,2026-04-01 01:06:33,sensor,elevator_001,elevator,B15,2,door_fault,2,97.04,71.18,,
fc2a6eed-4e4d-4fe1-8a3d-c3faa7c90d72,2026-04-01 01:08:16,sensor,door_sensor_021,door_sensor,B14,6,open_too_long,2,46.35,51.57,,
092adbaa-a8ab-4c2f-b7c4-d25945e00922,2026-04-01 01:08:28,sensor,water_leak_022,water_leak,B6,10,leak_detected,5,43.06,74.58,,
7988b3d1-a60b-4fa6-bda5-f1e01f6298e2,2026-04-01 01:09:34,camera,cam_072,camera,B12,5,ev_illegal_parking,3,,,0.2,
2bb74ae3-3a53-4808-bada-0e90764bb46c,2026-04-01 01:10:21,camera,cam_136,camera,B7,5,climbing_detected,2,,,0.207,
c4e5778a-4a76-476c-8a94-8dcfd02325b4,2026-04-01 01:10:32,camera,cam_044,camera,B9,5,ev_illegal_parking,2,,,0.66,
20267ae1-64c9-454c-b777-933ac7b75a25,2026-04-01 01:11:36,camera,cam_080,camera,B10,2,stain_detected,3,,,0.456,
987d411b-84c6-4d56-ac52-fbc4ed4b9590,2026-04-01 01:11:54,sensor,lighting_058,lighting,B1,-1,lamp_failure,3,29.6,83.82,,
726d8c1a-2ed7-4667-a3d8-078854c31dc3,2026-04-01 01:13:32,camera,cam_184,camera,B13,5,ev_illegal_parking,2,,,0.504,
4ad3bcc7-d0fc-4763-9b1a-6dc1a35752c6,2026-04-01 01:13:34,sensor,water_leak_004,water_leak,B17,12,leak_detected,3,72.73,51.76,,
5ea03169-616c-426f-ac0d-840ae9cddd9f,2026-04-01 01:14:16,sensor,elevator_019,elevator,B18,-1,maintenance_required,4,59.85,71.75,,
c15b9982-63b8-476d-b04a-2d65a7c8d495,2026-04-01 01:14:23,camera,cam_118,camera,B2,5,climbing_detected,2,,,0.774,
90d4e530-9bfb-425c-b47c-b7ed965db284,2026-04-01 01:14:37,camera,cam_155,camera,B13,-1,fall_detected,2,,,0.36,
dc55e7fc-8126-4389-aee6-d3c7eda8d026,2026-04-01 01:15:14,sensor,water_leak_021,water_leak,B19,14,leak_detected,3,31.08,77.34,,
dbd635cb-8143-45b8-839d-86556e92e190,2026-04-01 01:16:52,sensor,elevator_003,elevator,B16,16,fault_code,3,50.21,52.75,,
c8567fd6-4a4c-45ca-87e7-8a738d3c2f59,2026-04-01 01:17:34,camera,cam_156,camera,B19,1,fall_detected,3,,,0.409,
1f791857-0911-4b3b-8920-9bb9b7aef2e5,2026-04-01 01:18:22,sensor,water_leak_003,water_leak,B6,5,leak_detected,4,75.93,73.68,,
a29ea974-9f5e-48c3-888a-1121e2641342,2026-04-01 01:19:28,camera,cam_042,camera,B14,1,ev_illegal_parking,2,,,0.557,
da191648-1c3f-408f-99c5-5a65e7e05c88,2026-04-01 01:21:26,camera,cam_081,camera,B4,-2,object_left,1,,,0.395,
61ac7c8d-f4ef-473d-ab8f-7cdeb5527876,2026-04-01 01:21:30,sensor,lighting_034,lighting,B19,5,lamp_failure,2,28.93,86.44,,
a3bc6d32-f92f-4d0d-b9c9-4b9a3b60f510,2026-04-01 01:21:50,camera,cam_029,camera,B16,-2,fire_detected,4,,,0.448,
40984beb-fb74-41d5-9756-7951d06c47c5,2026-04-01 01:22:10,camera,cam_177,camera,B11,0,smoke_detected,4,,,0.428,
fb12d35d-75a0-4612-a2e9-b7ff6700956b,2026-04-01 01:23:56,camera,cam_183,camera,B14,-2,fall_detected,2,,,0.476,
78178dea-95b1-4330-974f-f4dbe6a76fea,2026-04-01 01:25:00,sensor,hvac_BROKEN_001,hvac,B13,7,sensor_fault,3,19.38,73.49,,
08c41cc9-41f2-489c-bffc-d61dfff0c636,2026-04-01 01:25:06,camera,cam_037,camera,B12,4,ev_illegal_parking,3,,,0.509,
c85d78a7-9a27-4e6d-ae86-3312eb757823,2026-04-01 01:26:37,sensor,fire_pressure_002,fire_pressure,B7,8,pressure_high,1,71.88,64.81,,
a589b445-ac7a-4e51-900d-2016a71ed541,2026-04-01 01:27:28,sensor,hvac_008,hvac,B13,1,fan_fault,4,34.28,85.68,,
149c1b0a-8769-4d21-a0e4-5e4943f09f20,2026-04-01 01:28:19,camera,cam_102,camera,B4,-1,stain_detected,2,,,0.333,
cde6efac-561a-4c40-80b1-38d4e81c1e20,2026-04-01 01:28:43,camera,cam_187,camera,B14,2,ev_illegal_parking,3,,,0.255,
fe3f71d7-2d67-43f7-8959-9b3be2538f88,2026-04-01 01:28:58,sensor,lighting_079,lighting,B19,1,circuit_fault,3,74.43,56.62,,
de409e5c-6ae1-41e9-8958-6d7ff773ab6b,2026-04-01 01:29:48,sensor,water_leak_021,water_leak,B19,14,leak_detected,4,34.11,59.23,,
2d5a6794-d748-4dfb-8f74-f4f1363155b0,2026-04-01 01:31:48,sensor,hvac_005,hvac,B1,-2,filter_clog,3,48.26,71.98,,
70453e73-b1a9-423e-8802-fb403fa742fc,2026-04-01 01:32:02,camera,cam_149,camera,B20,2,stain_detected,1,,,0.346,
b74cc4d1-4b9e-45ad-9dce-11d3bc3db24d,2026-04-01 01:34:57,sensor,door_sensor_034,door_sensor,B7,0,open_too_long,1,60.16,85.92,,
e8a47023-4ae1-4169-9501-6844972f03d0,2026-04-01 01:35:04,sensor,hvac_054,hvac,B1,10,compressor_alarm,3,33.35,60.77,,
4d703766-17eb-4488-a48c-24138fdab9f6,2026-04-01 01:36:12,sensor,hvac_013,hvac,B2,7,water_temp_high,2,50.33,57.88,,
917cbf76-a341-48a8-adb5-f46cbac8befe,2026-04-01 01:40:01,camera,cam_013,camera,B2,4,smoke_detected,4,,,0.858,
f6296198-88cb-449b-a8bb-96bc83eeb7a2,2026-04-01 01:40:22,camera,cam_063,camera,B18,4,people_gathering,1,,,0.716,
827b51df-1c68-454b-9c12-98c5cc98e480,2026-04-01 01:41:07,sensor,lighting_000,lighting,B7,11,lamp_failure,3,26.68,57.08,,
4c184c41-0d81-42df-8f14-992ddfc5433b,2026-04-01 01:41:21,sensor,hvac_002,hvac,B7,7,fan_fault,1,92.11,57.03,,
98dcb0f2-d776-42f6-bb83-f4f5334b980e,2026-04-01 01:41:54,sensor,pump_002,pump,B14,11,temperature_high,3,92.46,50.87,,
123cd187-64c3-47a0-a085-0cbe23e13e7f,2026-04-01 01:43:06,sensor,lighting_027,lighting,B3,3,lamp_failure,1,74.67,64.39,,
ff416ae0-8ffd-42ac-a215-42377a43782f,2026-04-01 01:42:46,camera,cam_016,camera,B2,0,stain_detected,2,,,0.853,
2b240e7e-1e28-4154-9d4c-519e21d14904,2026-04-01 01:45:34,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
10879fc1-55cd-43ad-a480-9c647b158d33,2026-04-01 01:45:42,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
eba7233b-f41f-4f97-93c4-84b87ed9174f,2026-04-01 01:45:56,sensor,fire_pressure_017,fire_pressure,B16,0,pressure_high,4,10.07,63.9,,
f7869923-2fed-4316-88ab-77bcc8713442,2026-04-01 01:46:00,sensor,hvac_BROKEN_001,hvac,B13,7,sensor_fault,2,68.83,70.2,,
4ac60e4c-e242-4850-9852-645d9044e2fa,2026-04-01 01:46:14,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
3659637b-b47f-4275-8098-f0c936332d29,2026-04-01 01:46:22,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
607f3952-53c3-49f0-90d9-998184aae733,2026-04-01 01:47:03,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
8350c3c8-72ed-499b-9059-3993cf02f867,2026-04-01 01:47:17,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
0e061710-7d90-4586-a7aa-7ecd6724c59d,2026-04-01 01:47:21,sensor,hvac_053,hvac,B4,20,filter_clog,5,12.19,72.66,,
c6d12649-32a7-4c21-a28b-608eae07eb68,2026-04-01 01:47:37,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
02cd5694-6631-4a8a-8842-93b4b24334da,2026-04-01 01:47:43,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
3831df79-11c5-4b7b-8222-51b260a89479,2026-04-01 01:47:46,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
18c43a9f-88e2-4874-9b7b-9a3396aae27f,2026-04-01 01:47:51,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
fab5c369-37f6-46d1-bbbe-e2195c081333,2026-04-01 01:47:52,sensor,door_sensor_034,door_sensor,B7,0,open_too_long,2,95.43,82.42,,
a4948de7-5cc3-4988-84b4-5e41d8b31820,2026-04-01 01:47:52,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
141cc35b-051a-46e0-8a59-fb0756e89584,2026-04-01 01:47:59,sensor,lighting_007,lighting,B3,3,lamp_failure,3,32.98,79.11,,
c196ee8d-ec8e-4289-9ee6-8439dc05a3e4,2026-04-01 01:48:13,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
2785a4fc-20dd-4838-b541-57b2ae197ade,2026-04-01 01:48:15,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
36ea8729-50ff-4fe8-baca-fbba61be94d3,2026-04-01 01:48:36,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
456e94df-b959-4eac-8b6d-c8ebe6965cd0,2026-04-01 01:49:15,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
fc271b94-b563-4f8b-a0e0-39021c61c5e3,2026-04-01 01:49:34,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
61f6153a-12d2-426a-a8f5-e2fdf6c87c19,2026-04-01 01:49:43,sensor,hvac_053,hvac,B4,20,compressor_alarm,2,90.44,57.27,,
e8943b62-d3d4-4f36-9e1e-cfdb43e51ab7,2026-04-01 01:49:53,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
d4b36a03-4633-4502-9a99-ab6b3ca1af69,2026-04-01 01:49:58,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
4ee21f2f-e789-4676-8ecc-7407a2f2b5c6,2026-04-01 01:50:15,sensor,elevator_023,elevator,B15,5,stuck,3,52.84,88.92,,
fb4ae07a-5302-4bb0-98b7-0745b88a9b0a,2026-04-01 01:50:17,sensor,elevator_023,elevator,B15,5,stuck,2,24.52,87.27,,
fa75763d-4b7d-470c-8b92-fdb7de128bf3,2026-04-01 01:50:35,sensor,door_sensor_030,door_sensor,B17,-2,open_too_long,3,86.31,75.08,,
9e757642-cdbc-44f6-826e-f6c29dceea19,2026-04-01 01:50:50,sensor,fire_pressure_005,fire_pressure,B11,0,pressure_high,4,80.36,79.07,,
86c8fe29-ae90-4edb-86fb-9ce568629791,2026-04-01 01:51:17,sensor,elevator_032,elevator,B19,0,stuck,2,43.9,66.98,,
09ac9af6-d7d5-4fbe-9ebd-58d1efb98515,2026-04-01 01:51:36,sensor,lighting_028,lighting,B4,6,lamp_failure,3,6.32,56.72,,
34729ecb-b159-45a8-ad09-8e2850747058,2026-04-01 01:52:00,sensor,hvac_BROKEN_001,hvac,B13,7,sensor_fault,3,51.19,85.53,,
aa3e7dfa-57aa-4350-a0ae-d2e9e3f33bf3,2026-04-01 01:53:37,sensor,fire_pressure_003,fire_pressure,B12,4,pressure_low,5,48.85,63.63,,
290c6116-c2ba-44ff-8305-9a54c1fd6d79,2026-04-01 01:55:43,camera,cam_069,camera,B2,0,fall_detected,1,,,0.482,
b7024bdb-69bd-43a1-8e90-b327d729769e,2026-04-01 01:57:38,sensor,water_leak_029,water_leak,B5,7,leak_detected,2,69.87,52.2,,
ef505e39-e451-4796-8ba3-2d83468dc22c,2026-04-01 01:58:37,camera,cam_094,camera,B20,5,ev_illegal_parking,2,,,0.622,
45ddd416-b24c-4817-8f75-fcfd099c23f6,2026-04-01 01:59:16,sensor,door_sensor_019,door_sensor,B15,5,forced_open,3,96.04,55.51,,
0a7a8c06-4d0d-42be-9e26-80f3b92f608b,2026-04-01 01:59:31,sensor,elevator_017,elevator,B15,7,maintenance_required,4,51.19,77.06,,
a7bdea20-15be-42d1-943a-4e7be33ffb38,2026-04-01 01:59:56,sensor,hvac_049,hvac,B4,17,water_temp_high,3,30.06,81.65,,
12200c29-4b12-4d19-bce8-fece32b97bc1,2026-04-01 02:02:02,camera,cam_119,camera,B10,1,object_left,2,,,0.173,
d0fc33c1-d6c7-41c8-8d75-ee038f763644,2026-04-01 02:02:35,sensor,fire_pressure_014,fire_pressure,B13,7,pressure_high,2,85.43,83.28,,
f849794f-7066-4e46-a97c-417de4713fd4,2026-04-01 02:04:34,camera,cam_119,camera,B10,1,people_gathering,2,,,0.339,
13317968-2f85-4f58-b29b-caf43e6f84e6,2026-04-01 02:03:46,sensor,water_leak_017,water_leak,B11,6,leak_detected,2,47.54,68.74,,
88963ea4-f466-4d90-8421-b295e4186677,2026-04-01 02:04:43,camera,cam_192,camera,B16,1,stain_detected,1,,,0.846,
b680458d-dd2b-4b1a-a5c1-d863fb18f75f,2026-04-01 02:06:00,sensor,hvac_BROKEN_001,hvac,B13,7,sensor_fault,2,77.4,77.26,,
dd54f523-787d-4764-9d3a-e12d11fa5ae2,2026-04-01 02:07:11,sensor,hvac_040,hvac,B12,20,compressor_alarm,3,37.82,86.85,,
1e3b10e3-b92b-4505-b97e-f9eed8ee0338,2026-04-01 02:07:37,sensor,elevator_036,elevator,B18,9,overspeed,4,58.99,56.23,,
aef5b1e7-7dd3-49ee-951c-bedea3450b61,2026-04-01 02:12:06,sensor,lighting_006,lighting,B15,19,lamp_failure,2,47.69,65.02,,
926cee72-989d-4a2c-9485-6d5fb8fa11a5,2026-04-01 02:12:20,sensor,water_leak_015,water_leak,B6,7,leak_detected,3,94.31,89.91,,
9f2ce99d-9ac1-4757-9d73-339bf6b29c26,2026-04-01 02:12:46,camera,cam_021,camera,B12,-1,object_left,3,,,0.337,
c20249b9-c5ab-4c49-8ba2-9c4e581263e8,2026-04-01 02:14:22,sensor,water_leak_001,water_leak,B3,14,leak_detected,2,79.98,61.41,,
1d4f9294-2039-4a15-99fc-7d10273d7113,2026-04-01 02:16:18,camera,cam_074,camera,B9,0,object_left,1,,,0.411,
6d682aa4-9af2-4184-a52e-842d31ce46c8,2026-04-01 02:17:52,sensor,water_leak_003,water_leak,B6,5,leak_detected,3,80.74,59.5,,
b4aacfe5-3d45-410b-a39d-de5c38980983,2026-04-01 02:20:14,camera,cam_195,camera,B9,0,fall_detected,3,,,0.695,
7abceeb7-084d-4399-aeae-009414abc21b,2026-04-01 02:23:58,sensor,fire_pressure_019,fire_pressure,B6,3,pressure_high,4,20.4,65.45,,
e31cbf76-5d07-4026-89e9-3ff63db0199c,2026-04-01 02:24:49,camera,cam_074,camera,B9,0,ev_illegal_parking,2,,,0.543,
9d256ffc-aecb-4319-aa1f-f94452b60b0a,2026-04-01 02:27:02,camera,cam_166,camera,B20,5,fall_detected,1,,,0.404,
cf18f818-fee0-4b6e-b4a2-963b58e25ade,2026-04-01 02:28:25,sensor,fire_pressure_011,fire_pressure,B15,8,pressure_high,2,14.07,58.63,,
ecac6f46-40ed-4bc3-bdc0-2b6714e8f479,2026-04-01 02:32:52,sensor,lighting_014,lighting,B14,2,circuit_fault,5,47.39,67.52,,
38bd9814-6e26-4b5a-8f0e-8280adf0d332,2026-04-01 02:33:45,camera,cam_129,camera,B15,5,climbing_detected,1,,,0.661,
db2cf9fb-6fd3-41e1-b6b7-b7e0f8e714af,2026-04-01 02:35:34,sensor,fire_pressure_007,fire_pressure,B10,2,pressure_high,3,37.25,74.01,,
7cd3cf39-a4fc-4202-86f9-5787c26f2acd,2026-04-01 02:35:44,sensor,lighting_038,lighting,B16,6,circuit_fault,3,95.47,89.88,,
01967f71-5a00-483b-8dce-3791236053de,2026-04-01 02:36:36,sensor,lighting_065,lighting,B15,2,circuit_fault,3,47.69,71.26,,
4148bb5b-9165-45b3-99b4-db7f0021cd85,2026-04-01 02:36:42,sensor,water_leak_029,water_leak,B5,7,leak_detected,2,58.27,67.71,,
32582310-31db-48f7-9aa1-cb61e2be3533,2026-04-01 02:37:15,sensor,lighting_014,lighting,B14,2,circuit_fault,4,30.02,86.4,,
5e7c2cc0-9503-42c4-9387-411ea1323b26,2026-04-01 02:38:19,sensor,door_sensor_034,door_sensor,B7,0,open_too_long,3,87.72,87.47,,
5f3e86be-61bf-4ba9-ae86-70a094c183f5,2026-04-01 02:38:35,camera,cam_025,camera,B17,0,object_left,2,,,0.213,
a570145d-f1df-46be-b33e-05dc659c90d9,2026-04-01 02:38:52,sensor,lighting_046,lighting,B20,6,circuit_fault,4,91.77,69.11,,
f65a3077-3db2-4cad-8f8d-4068a4d00288,2026-04-01 02:39:25,sensor,fire_pressure_007,fire_pressure,B10,2,pressure_low,4,5.5,53.67,,
90c25e57-806f-40f9-ba81-94d7f9d42b5f,2026-04-01 02:40:13,camera,cam_104,camera,B17,0,smoke_detected,4,,,0.739,
6940c1ea-4e1a-4b27-b183-6c2bb6b17c83,2026-04-01 02:40:40,camera,cam_039,camera,B20,-2,object_left,1,,,0.218,
33ca182b-3aa9-4d87-a142-8c540f681731,2026-04-01 02:41:06,sensor,lighting_060,lighting,B2,15,circuit_fault,2,21.64,67.19,,
c0025063-5eca-4602-8694-3de283ecc22b,2026-04-01 02:41:38,camera,cam_066,camera,B17,5,smoke_detected,4,,,0.359,
273fa769-9202-441f-90f2-84ed31146390,2026-04-01 02:43:33,camera,cam_171,camera,B11,4,object_left,2,,,0.315,
697722d5-ad84-4476-97a3-29d32368997e,2026-04-01 02:47:25,sensor,pump_010,pump,B19,3,over_current,4,69.11,71.46,,
0ed74bb5-3073-4077-b60d-f04e3a3c3375,2026-04-01 02:46:26,sensor,door_sensor_030,door_sensor,B17,-2,open_too_long,2,3.53,75.14,,
8972caeb-9e4b-4bf1-bf45-b4bbbfa69f39,2026-04-01 02:47:27,camera,cam_034,camera,B15,5,stain_detected,1,,,0.541,
9db7b57d-ae1c-4bcc-a3ce-ea90ba4be7f9,2026-04-01 02:47:30,camera,cam_160,camera,B19,4,object_left,3,,,0.449,
87e94176-5bf2-4b74-bbbe-01f671c45098,2026-04-01 02:47:39,sensor,elevator_039,elevator,B13,7,door_fault,3,2.77,61.05,,
6e92827f-c218-47ed-aa7c-5827e032ffe2,2026-04-01 02:48:22,camera,cam_051,camera,B16,1,ev_illegal_parking,1,,,0.238,
